,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
217,"[u'Imports And Exports', u'Matric']","[u'Infosat (Sentec)', u'Internet Solutions', u'Nokia', u'PQ Africa', u'TAG (The Accessory Group)']",[],"[u'Accounts Executive Merchandiser', u'Business Developer']",B2B Operator Sales Manager,"[u'Key Account Manager', u'Account Executive']","[u'Customer Relations', u'Email', u'Sales', u'Telephone Skills', u'Typing', u'Presentation Skills', u'Strategic', u'Microsoft Excel', u'Networking', u'Pricing', u'Proposal Writing', u'Retail Management', u'Retail']",218
218,"[u'Flash Programming', u'Musicology', u""Grosvenor Boys' High School""]","[u'Computers & Design (Cad)', u'Currently Freelancing', u'Derivco - Micrograming', u""Four Season's Hotel Group"", u'Freelance / Roots & Wings', u'South East Asia Entertainment / Pixel2film', u'Synergy Corporate Technologies', u'Systems Technology Consultants', u'Ukubona Digital Design']",[],"[u'Designer', u'Web Designer Publisher Flash Presentations', u'SNR Flash Developer Designer Sound and Tech Lead', u'Multimedia Designer', u'Flash Designer Animator', u'Musician Arranger Composer', u'Musician Arranger Composer']",Sound & Flash Designer,"[u'Designer', u'Portfolio www.pixel2film.com Funkijazz']","[u'Macromedia Flash', u'A Whole Host Of Sound Creation / Editing Software', u'Adobe Photoshop', u'Macromedia Dreamweaver', u'Macromedia Freehand', u'Adobe Premiere', u'Html, Javascript, Xml']",219
219,[],[u'Department of The Premier(Pgwc)'],[],[],Analyst Developer Internship,[],[],220
220,"[u'Microsoft Certified Solutions Developer - Web Applications', u'Microsoft Specialist - Programming in C#', u'Nd National Diploma']",[u'Telkom'],"[u'Web Developer', u'Developer', u'Developer']",[u'Ops Specialist'],Web Developer,"[u'Oracle Database Administrator', u'Developer']","[u'C#.', u'Microsoft Visual Studio.Net (Asp.Net)', u'HTML/Jquery/CSS', u'ASP.Net', u'Microsoft Sql Server 2008 R2 (Sql)', u'Microsoft Sql Server 2005 (Sql)', u'sharepoint 2013', u'microsoft sql sever 2012', u'J2ee', u'Toad (Oracle)', u'webogic 8.1']",221
221,"[u'computer softwear engineering', u'Bachelor']","[u'Jamab', u'Pepkor IT', u'Saipa', u'Saipa Disel']",[u'Oracle Developer'],[u'Oracle Developer'],Oracle Developer,"[u'System Admin', u'Senior Oracle Developer']","[u'Pl/Sql', u'oracle pl/sql', u'oracle form', u'Oracle Report', u'oracle tools', u'excell', u'office', u'Oracle Discoverer', u'Excel', u'visio', u'Microsoft Access', u'PowerPoint', u'MS Word']",222
222,"[u'Management Development Programme (MDP)', u'Project Manager', u'Fashion Designer']","[u'Afroccentrique', u'Mzansi Magic', u'SABC', u'Unilever']","[u'Content Developer', u'Content Manager', u'Broadcaster', u'Writer', u'TV Producer', u'TV Presenter', u'Scriptwriter', u'Script Editor', u'Channel Manager', u'Head of Channel', u'Head of Content']","[u'Commissioning Editor', u'Senior Commissioning Editor']",Business Mentor,"[u'Consultant Developer', u'Head of Drama']","[u'Television Broadcasting', u'Script Editing', u'Proposal Development', u'Presentation', u'Content Management', u'Television Commissioning', u'TV Presenting', u'Content Development', u'Brand Integration', u'Film & Video Production', u'Writing', u'Leadership', u'Workshop Facilitation', u'Budget Development', u'Management Development', u'Brand Development', u'Project Management', u'Training & Development', u'Branding', u'Creative Direction', u'Brand Management', u'Budget Managment', u'Communication', u'Marketing', u'Business Management']",223
223,[u'Computer Science'],"[u'Comarton', u'Comarton Consultants', u'Zimhosts']","[u'PHP Web Developer', u'Intermediate PHP Developer', u'Junior PHP Developer', u'PHP Developer']",[u'Web Designer'],Systems Programmer,"[u'Trainee Systems Programmer', u'Web Developer']","[u'php', u'MYSQL', u'CSS3', u'HTML5', u'SQL', u'CRYSTAL REPORTING', u'GOOGLE APP ENGINE', u'JQUERY', u'JAVASCRIPT', u'VB.NET', u'APACHE', u'WORDPRESS', u'LARAVEL', u'GIT', u'MAGENTO', u'ZEND FRAMEWORK2']",224
224,"[u'Junior Management Programme', u'Bsc Honours Applied Mathematics', u'Bsc Mathematical Sciences', u'Matric Certificate']","[u'Institute of Mine Seismology (Previous ISS International)', u'Nedbank Business Banking', u'Nedbank Private Wealth', u'PBT Group', u'University of Stellenbosch']","[u'Senior Credit Risk Analyst', u'SAS Team Lead', u'Quantitative Analyst', u'Data Analyst', u'Data Scientist', u'Investment Analyst', u'Credit Risk Analyst', u'Statistician']","[u'SAS Developer', u'Seismologist', u'Applied Mathematics Class Assistant']",Senior Credit Risk Analyst,"[u'Manager Credit Risk Value Analytics', u'MIS Analyst']","[u'SQL', u'Excel', u'SAS', u'Word', u'Power Point', u'SharePoint Administration', u'Matlab', u'Python', u'Visual Basic', u'Open Source Office', u'JAVA', u'R', u'Bash Scripting']",225
225,"[u'MBA', u'Nhd (T4) Chemical Engineering', u'Diploma In Human Rights']","[u'Colgate Palmolive', u'Mint Company', u'PG Glass', u'Renaissance Connections', u'Renglass & Tyres', u'Tiger Brands', u'Unilever']","[u'LEADERSHIP', u'STRATEGIC', u'OPERATIONAL', u'MANUFACTURING / BUSINESS MANAGEMENT', u'MANUFACTURING / BUSINESS MANAGEMENT']","[u'Plating Unit Manager', u'Proction Unit Manager', u'Process Engineer Shift Manager', u'Process Eng. Trainee']",Business Director and Developer,"[u'Roaving Manager', u'Business Developer Entrepreneur']","[u'Production Planning And Scheduling', u'Excel, Word, Projects, Power Point, Publisher', u'Project Management', u'Staff-Skill Development, Couching', u'Financial And Cost Management', u'Industrial Relations, Disciplinary', u'Supply Chain Management', u'Profitabilty Management', u'She And Risk Management', u'Quality Management', u'Capex And Lep Management', u'Hazop', u'Business Management', u'Negotiation', u'Marketing And Sales', u'Production Management', u'Chemical Engineering', u'Hazan', u'Engineering Design And Optimisation', u'Hygiene Management', u'Unionised Labour - Ir', u'Climate And Change Management', u'Logistics', u'Iso 9002 / 14000', u'3 & 6 Sigma Quality System']",226
226,[u'Bachelors Degree in Computer Science of Engineering'],[u'DSV'],[u'Tibco BW Developer'],[],Tibco Integration Developer,[],"[u'TIBCO BW 5.x EMS RV Web Service and Tibco Administrator', u'TIBCO palettes ADB Adapter', u'SOAP WSDL and Service palette', u'Databases such as Oracle 10G.', u'TIBCO Administrator for User Management Resource Management and Application Management.', u'Tibco BW EMS Tibco Administrator Data Base adapters File Adapters SOAP Utility and RV) SOA Client-Server and web service', u'JDBC JNDI XML']",227
