,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1509,[u'Graphic Designing'],"[u'CTD', u'Seeff Properties']",[u'Graphic Designer'],[],Graphic Designer and Course Developer,[u'Illustrator Advertising and Graphic Designer'],"[u'Graphic Designing', u'Illustration And Layout', u'Printing Reproduction']",1510
1510,"[u'BCom Honours Information Systems', u'BSc Computer Science']",[u'Datacentrix'],"[u'C# Developer', u'Java Developer']",[],Junior Software Developer,[],"[u'C#', u'VB.Net', u'Java', u'C++', u'AngularJS']",1511
1511,"[u'MCSD', u'B.Sc Sur']","[u'CNA', u'Eyethu Infotech', u'MHP Geomatics', u'MHP Geospace', u'Rave Sports Promotions', u'Umuzi']",[],"[u'GIS Specialist', u'Sales Assistant', u'Field Marshal']",Managing Director,"[u'Project Manager', u'Analyst and Developer']","[u'Gis - Arcview', u'Data Mining', u'Project Management', u'Custom Application Development', u'MS SQL', u'Vb Development', u'Asp Development', u'Website Development With Javascript', u'Crystal Reports', u'Delphi']",1512
1512,"[u'Postgraduate Diploma in Financial Planning', u'Regulatory Exam - Representatives - RE5', u'Regulatory Exam - Key Individual (RE1)', u'Bcomm Degree - Informatics', u'National Diploma -Information Technology']",[u'Derivco'],[u'Financial Planner'],[],Software Developer Programmer,[],"[u'Software Developer', u'Financial Planner']",1513
1513,[u'B.Sc'],"[u'Jade Garden Restaurant', u'Property Shop', u'Wamtech CC']",[],[],Developer,"[u'Assistant', u'Various Family-Owned Restaurant']","[u'General Computer literacy (MS and Linux OS)', u'Database Design, Creation, Implementation', u'Oo Design Knowledge', u'Sdlc Methodologies', u'SQL', u'.Net Programming Including Asp And Ado', u'XML', u'HTML']",1514
1514,"[u""Bachelor's Degree in Software Development""]","[u'Atlas Copco', u'Highveld Steel & Vanadium Corporation / Evras-', u'South African Mint', u'Tshwane University of Technology']","[u'Systems Analyst', u'Systems Engineer', u'Senior Developer', u'C# Software Developer']",[u'Student Assistant'],Analyst Programmer,"[u'.NET Developer and Support Engineer', u'Technical Software Developer']","[u'Update', u'Select', u'and Delete Statements', u'.NET(C# & VB)', u'ASP.NET', u'SQL Server 2012 R2', u'OOP', u'Multi-tiered architecture', u'Visual Studio 2012 Framewrok 4.5', u'Windows and Web Development', u'CSS', u'Web Services']",1515
1515,"[u'MBA', u'MSc (Physics)', u'BSc(Honours)']","[u'Abante Capital', u'Abante Virtus', u'Azisa Software', u'Basileus Capital', u'Display Solutions', u'Independent', u'iTouch Group', u'National Accelerator Centre', u'Societe Generale', u'Southern African Large Telescope']","[u'Associate Director', u'Associate', u'Vice Principal', u'Project Manager']","[u'Hedge Fund Trader', u'Analyst / Temporary Contractor', u'Physicist / Software Developer', u'Firmware Engineer', u'Software Developer', u'Software Engineer', u'Programmer / Researcher']",Independent Consultant,"[u'Associate Director', u'Associate']","[u'Project Finance', u'Corporate Structuring', u'Private Equity', u'Nuclear Physics', u'Research', u'MySQL', u'Project Implementation', u'Hedge Fund Trading', u'Business Modelling', u'Database Design', u'C', u'Business Analysis', u'Functional Languages', u'Mining Finance', u'Excel', u'Programming', u'C++', u'Labview', u'Commercial Contracts', u'Databases', u'Object Oriented Languages', u'Financial Analysis', u'Software Engineering', u'Corporate Finance', u'VBA', u'Mineral Rights', u'Deal Sourcing', u'Oracle', u'Negotiation', u'Telecommunications', u'Leadership', u'Web Development', u'General Trading', u'Financial Management', u'Linux', u'Operations', u'System Engineering', u'Control Systems', u'Logistics', u'Networks', u'Economics', u'Hardware Programming', u'Management Accounting', u'Electronics']",1516
1516,[u'BSc Computer Science / Applied Mathematics'],[u'CM Computer Services'],"[u'PHP Developer', u'PHP Web Developer', u'Senior PHP Developer', u'Intermediate PHP Developer', u'Senior PHP Analyst Developer Web']",[],Lead Software Developer / IT Support,[],"[u'JQuery', u'Javascript', u'PostgreSQL', u'ASP .NET', u'Drupal', u'Linux', u'C#', u'Joomla', u'Wordpress', u'MySQL', u'Java', u'Android', u'PHP']",1517
1517,"[u'Business & Systems Analyisis', u'Itil Foundation', u'Manament Development Prigramme', u'B. Scc', u'Matric With Exemption']","[u'Arivia.Kom', u'Eskom IT Department', u'T-Systems']",[],[],Developer,"[u'Developer', u'Analyst Programmer']","[u'Application Development', u'Visual Basic 6.0', u'Microsoft Office Xp', u'Microsoft Access', u'Technical Support', u'Crystal Reports', u'Graphical User Interface', u'Business Analysis', u'SQL', u'Microfocus Cobol', u'Computer Hardware', u'Project Development', u'jcl', u'Mainframe', u'Webmethods Intergration Tool', u'Migration', u'Business Plans', u'Sas Busineess Intelligence Tool', u'Human Resources', u'Business Research', u'Linux Operating System', u'Itil Foundation', u'Tivoli']",1518
1518,[u'Business analysis'],"[u'Miway Insurance', u'Parsons Brinckerhoff Africa', u'WSP/Parsons Brinckerhoff']","[u'Business Analyst', u'Business process developer']",[],Workflow developer,"[u'Business process technician', u'Document Controller']","[u'Introduction to C# A+ SQL Server Programming and C# Programming (Basic) SQL Server 2008      Metastorm v9/ Opentext (Business Process Modeling) Power Design 15 (Business Process Modeling) Project Web Application Visio', u'functional specs docs\r\n\uf02d\tProcess Workflow Design and Development\r\n\uf02d\tPerform process testing plans', u'managing deployments and documentation of training manuals.\r\n\uf02d\tSystem Testing (Functionality and compliance to the Specification', u'and UAT).\r\n\uf02d\tManaging Data modeling using SQL Server 2008 software.\r\n Training of users', u'analyse and generate ideas into a business case\r\n\uf02d\tDrive efficiency gains', u'improved quality and experience\r\n\uf02d\tProduce clear and detailed process maps', u'scenarios and bug finding/fixing\r\n\uf02d\tTraining sessions and training docs with stakeholders or end users \r\n\uf02d\tDeployment involvement and enhancement focus with business\r\n\r\nBusiness Process Analysis;\r\n\uf02d\tSystem Design/ Developing.\r\n\uf02d\tProcess Design and Modeling.\r\n\uf02d\tProcess Description', u'Liaison with technical team and process owners.', u'cost savings', u'analysis and documentation of user requirements', u'\uf02d\tGather Business requirements regarding existing process flow\r\n\uf02d\tFacilitate workshops with key business stakeholders\r\n\uf02d\tInvestigate', u'Introduction to C#', u'A+\r\nSQL Server Programming and C# Programming (Basic)\r\nSQL Server 2008     \r\nMetastorm v9/ Opentext\r\n(Business Process Modeling)\r\nPower Design 15\r\n(Business Process Modeling)\r\nProject Web Application', u'Visio', u'CIC', u'Interactive Process Application']",1519
1519,[u'Professional writer'],"[u'Freelance Consultant', u'GMS International', u'Sensus']","[u'Copywriter', u'Swedish']",[],Marketing Director,"[u'Writer', u'Business Developer']","[u'project management', u'Marketing', u'Final draft', u'screenwriting', u'Copywriting', u'Content writing', u'teaching', u'microsoft office', u'writing']",1520
1520,[u'Bachelor Of Commerce-Major-Marketing&Business Adm'],"[u'Five Interactive', u'Intrepid Data Systems', u'J Walter Thompson Kenya', u'Kenya Television Network Baraza', u'Kenya Television Network-Baraza', u'Lowe Scanad East Africa', u'Messiah College Sociology Department', u'Mwafrika.Com']",[],"[u'Professional Television Artist', u'Business Developer', u'Business Development Consultant', u'Account Executive', u'Department Office Assistant']",Account Executive,"[u'Professional Television Artist', u'Documentary Audiovideo Producer']","[u'Computer Literacy-Microsoft Proficiency', u'Driving Skills', u'Television Drama Artist', u'Video Editing', u'Creative Writing']",1521
1521,[u'Very Well'],"[u'Hrsmart INC', u'Hrsmart Inc2']",[],[],PHP Developer,[u'Perl Developer'],[u'Computers'],1522
1522,"[u'Doctor Of Philosophy In Physics Degree', u'Master Of Science Degree', u'National Astrophysics And Space Science Programme', u'Bachelor Of Science', u'Senior Certificate, Full Matric Exemption']","[u'Activ Science', u'Castrol', u'Crinan Hotel', u'Learn24, Media24, Naspers', u'Moshav Bnei Atarot, Moshav EIN Yahav', u'Newpark Hotel', u'University of Cape Town']",[],"[u'Tutor', u'General Assistant', u'Assistant', u'Volunteer']",Tutor,"[u'Content Developer and Editor', u'General Assistant']","[u'Spreadsheets, Word Processors, Internet', u'Latex Typesetting, Python And Matlab Programming', u'Folio Infobases', u'Graphics Packages - Photoshop, Paintshop']",1523
1523,"[u'BA Social Work', u'BA Hons in Public Administration', u'Bachelor of Arts', u'Senior Certificate']","[u'Sanca Greater Heidelberg', u'Sanca National', u'Sanca Soweto']","[u'Centre Manager', u'Administrator PA', u'Operations Head', u'Assessor', u'Project planner']",[],Community Developer and Trainer,"[u'Community Development Manager', u'Community Development Worker']","[u'report writing', u'Facilitation', u'Project Planning', u'conflict management', u'computer', u'Decision making', u'Communication', u'Problem solving', u'Business management', u'planning and organising']",1524
1524,"[u'Software Development', u'Software Development', u'Matric']","[u'Discovery Life', u'Miway Insurance', u'Old Mutual Iwyze']",[u'Developer'],[],ORACLE TIA DEVELOPER,"[u'Oracle Developer', u'Junior Developer']","[u'Sdlc', u'OOA', u'OOP', u'PL/SQL', u'TIA', u'Jira', u'Javascript', u'C++', u'Css3', u'Html5', u'PHP']",1525
1525,[u'Matric'],"[u'Group 5 Civils', u'Group 5 Roads', u'Hosaf Fibres', u'Sapref Oil Refinery']",[u'Pipe Fitter'],[u'Pipe fitter'],PHP Web Developer,"[u'Pipe fitter', u'Pipe fitter']","[u'Cutting', u'Think before u do...', u'Common sense', u'Asked if u not sure', u'Grinding reading drawings']",1526
1526,"[u'Html 4 \u2013 Level 2 And Integrated Html', u'Css Customised', u'Higher Certificate In Financial Markets And Instru', u'Nd: Information Technology']","[u'Achievement Awards', u'Afa-Systems', u'Bsolve', u'Microgen', u'Mountain Network Software', u'Platformit']","[u'Senior Developer / Analyst', u'Team Lead', u'Team Lead']","[u'Technical Consultant', u'Senior Developer Analyst', u'Intermediate Developer']",Development Projects Team Lead,"[u'Senior Analyst Developer Team Lead', u'Senior Analyst Developer']","[u'T-Sql', u'C#', u'Mysql V.4-5', u'UML', u'HTML', u'Javascript', u'Delphi V.3-6', u'Pl/Sql', u'XML', u'PHP', u'Xpath', u'XSL', u'Ajax', u'Python']",1527
1527,[u'High School'],"[u'Beeb', u'Engen', u'FX Interactive', u'Old Mutual', u'Proccyber', u'Sanlam', u'Shoprite', u'South African National Defence Force (SANDF)', u'Verzuimregisseur']",[],"[u'Senior Developer', u'Senior E-Commerce Developer', u'Intranet Developer', u'Internet Developer', u'Intranet Developer', u'Network Specialist', u'Sandf Conscription Military Service']",Senior Developer,"[u'.NET Developer', u'VB Developer']","[u'Visual Basic (Versions 1-6)', u'HTML', u'ASP', u'Dhtml', u'Vbscript', u'Vb.Net', u'Access', u'Sql2000', u'Asp.Net', u'Javascript', u'XML', u'Microsoft Office Automation', u'Ado.Net']",1528
1528,"[u'Registered Person Exam', u'B.Sc', u'B.Sc', u'Senior Certificate']","[u'Investec', u'Parity Softwares']",[u'Trader'],[],Administrative Consultant,[u'Software Developer Trainee'],"[u'Computer Literate', u'Matlab', u'Tutoring', u'Numerical Techniques', u'Optimization Techniques']",1529
1529,[u'Commercial Course'],"[u'Charterlife', u'Liberty Healthcare', u'Liberty Life']",[],"[u'Clerk Premium Accounts Refunds Section', u'Clerk Premium Accounts Debit Orders', u'Supervisor Premium Accounts Data Financial Contr', u'Clerk Endorsements Policy Changes', u'Section Head Premium Accounts Refunds Section']",Compass System Financial Business Developer,"[u'Supervisor Medical Lifestyle Administration and', u'Business Analyst for Systems Development']","[u'Supervisory/Management Skills', u'Fiancial Processing And Controls', u'Financial And Data Control', u'General Ledger Reconciliations', u'Liberty Business/Product Knowledge', u'Business Systems Specifiction Writing', u'Pc Literacy', u'Testing Strategy', u'Systems And Systems Interfaces', u'Organization Design Skills', u'Project Management']",1530
1530,"[u'Flowcentric.Net Certification', u'Mcp (Microsoft Certified Professional)', u'Comprehensive Programming Diploma', u'Grade 12 (St. 10)']","[u'Aristocrat Technologies Africa', u'Department of Agriculture & Environmental Affairs', u'Department of Correctional Services: Barberton', u'DVT', u'Netcare Group', u'Sandbox Projects', u'Softnet (I.S.P)', u'The Department of Agriculture & Environmental']","[u'Senior .NET Developer', u'Senior C# Developer', u'Senior C# Developer']","[u'Senior Lead Application Developer', u'Service & Application Development Manager', u'Assistant Director Web Development Information T', u'Technical Support', u'Warder']",Senior .NET Developer,"[u'Senior Software Engineer', u'Senior Systems Analyst']","[u'Application Development', u'Database Administration', u'Html', u'.Net', u'Visual Studio', u'Microsoft Office', u'Visual Basic 2005', u'Sdlc', u'Visual Basic 9.0 (Vs 2008)', u'Asp.Net', u'Microsoft Sql 2005', u'WPF', u'.NET Framework 2.0', u'Mvvm', u'Ado.Net', u'Budget Planning', u'T-Sql', u'Architecture Design', u'C#', u'Customer Relations', u'Documentation (Technical, Process, Functional)', u'Project Planning', u'css', u'Prism', u'Business Processes', u'.NET Framework 3.5', u'WPF', u'Project Management', u'Windows Mobile', u'.NET Compact Framework 3.5', u'.Net Framework 4.0', u'Visual Studio 2008', u'Flowcentric.Net', u'Visual Studio 2010', u'Linq', u'Jscript', u'Oracle 10g', u'Ajax', u'Oracle 11g', u'Toad 9.7.2']",1531
1531,"[u'National Diploma: It: Technical Applications', u'(Itblp) It Business Learnership Program', u'Senior Certificate - Matric']","[u'Dealernet', u'Mineware Consulting', u'Standard Bank', u'Tshwane University of Technology']","[u'Senior Developer', u'Senior Consultant', u'Senior Consultant']","[u'Technical Specialist', u'Student Trainer']",Senior Development Consultant,"[u'Senior Developer', u'Senior Developer Consultant']","[u'Delphi Programming', u'Microsoft C# Programming', u'Windows Forms', u'web services', u'wcf', u'wpf', u'XML', u'Microsoft Packages', u'Microsoft Sql', u'Cobol Programming', u'mvc', u'jquery', u'javascript']",1532
1532,"[u'SQL Server Microsoft Certificate', u'ND: Information Technology', u'Matric']",[u'Desmond Tutu TB Center'],[u'.NET developer/ C# asp .NET developer'],[],Developer,[],"[u'Sql Developer', u'C# Developer', u'sql', u'asp .NET webforms', u'windows forms', u'Entity Framework', u'html5', u'css', u'javascript', u'jquery', u'WPF', u'MVC']",1533
1533,[u'Master of Science in Electronics'],"[u'Shoprite Checkers', u'Syntell', u'Transunion', u'VH Group of Companies India']","[u'BizTalk Developer', u'BizTalk Administrator']",[u'Junior .NET Developer'],Senior BizTalk Developer,"[u'Senior BizTalk Developer & Administrator', u'Senior BizTalk Developer']","[u'BizTalk Server', u'jQuery', u'HTML', u'SQL Server', u'C#', u'VB.Net', u'Java Script', u'WCF', u'AJAX', u'MongoDB', u'XML', u'Asp.Net', u'SSIS', u'SSRS', u'CSS', u'MySQL', u'Crystal Reports', u'TFS']",1534
1534,[u'BTech Information Technology'],"[u'Autopilot Workflow Solutions', u'Pilotfish Digital']","[u'Software Developer', u'C# Developer', u'Mobile Developer', u'SQL Developer']",[],SharePoint Developer,"[u'Software Developer', u'Software Developer Intern']","[u'MS Office', u'SQL Server', u'Teamwork', u'Communication (verbal and written)', u'Interpersonal skills', u'Perseverance', u'CSS', u'JavaScript', u'C#', u'XAML', u'Time management', u'ASP.Net', u'HTML5', u'JQuery', u'Telerik Silverlight Controls', u'LESS', u'WCF Services']",1535
1535,[u'Bachelor of Technology'],[u'Zensar Technologies'],[u'ETL Developer'],[],Senior Software Developer,[],"[u'ETL TOOLS', u'ssrs', u'oracle', u'Informatica', u'Informatica Power Centre', u'SQL Server 2012', u'Oracle', u'unix', u'Cognos', u'SSIS']",1536
1536,"[u'Certified Lotus Professional R5: Development', u'Certified Lotus Professional R5: Administration', u'Certified Lotus Professional R4: Development', u'Certified Lotus Specialist R4: Administration']","[u'Futuristic Contracting & Consulting', u'PricewaterhouseCoopers (PWC)', u'Snyman Business I.T. Solutions']",[],[],Senior Consulting Manager,"[u'Consulting & I.T. Manager', u'National Notes Developer']","[u'Sytem Designer', u'Team Leader', u'Project Management', u'Business Analyst', u'General Management', u'System Analyst']",1537
1537,"[u'Incomplete BSc(Coms)', u'Matric']",[u'mITy'],"[u'Web Developer', u'Mobile Developer', u'PHP Developer', u'SQL', u'Software', u'Application Tester']",[],Web Developer,[],"[u'Adobe Illustrator', u'Adobe After Effects', u'CSS', u'JQuery', u'Adobe Muse', u'Javascript', u'Delphi 7', u'HTML', u'Apache HTTP Server', u'Adobe Photoshop', u'MySQL', u'PHP', u'Java', u'Python']",1538
1538,"[u'Bcom (Honours):Informatics', u'Test Analyst / Software Tester Certificate', u'It Project Management Certificate', u'Bsc (Computer Science & Stats', u'Computer Literace,Teaching']","[u'ABSA Bank', u'South African Revenue Service (SARS)', u'Standard Bank (With Micro to Mainframe)', u'University of Pretoria']",[],"[u'Computer Science JNR Lecture', u'Computer Lab Administrator and Image Tester']",Test Analyst Tester,"[u'Tester', u'PM System Developer and Unit Tester']","[u'Tester And Test Analyst Skill', u'Programming C++,C,Visual Basic,Pascal', u'Statistical Skill', u'Database Development', u'Communication Skills', u'Computer Skills', u'Computer Networking', u'Management Skills', u'Computer Hardware(A+)']",1539
1539,"[u'N6', u'Grade 12 (Standard 10/Matric)']","[u'Telkom', u'ZEL Consulting CC']",[],[],Property Developer Building,"[u'Systems Integrator', u'Network Specialist']","[u'Mathematics', u'Purchasing', u'Financial Management', u'Materials Management', u'Project Planning', u'Project Management', u'Meeting Facilitation', u'Management', u'Networking', u'Cisco Certified Ccnp', u'Ccna', u'Air Force']",1540
1540,"[u'Sales Techniques And Skills', u'Time Management', u'Project Management', u'Business Analysis', u'Advanced Visual Basic', u'National Diploma Information Technology', u'High School']","[u'Accara Solutions', u'Global Technology', u'Sagacious Systems', u'Westminster Adult Education College']",[],[u'Programmer Analyst'],Business Development Executive,"[u'Project Leader', u'Software Developer & Database Administrator']","[u'MS Access (incl Office)', u'Internet Explorer', u'MS Project', u'Ms Visio', u'Bankmaster (Integration)', u'Ms Windows 95,98,2000,Xp And Nt', u'Crystal Reports', u'Instalshield/Demoshield', u'Ncr / Micr', u'Globus (Integration)', u'Visual Basic', u'Source Safe', u'MS SQL Server', u'Unix', u'Linux']",1541
1541,[u'Computer Science'],[u'Telkom'],"[u'.net developer', u'vb.net developer', u'asp.net developer', u'vb.net developer', u'asp.net developer']",[],Manager Systems Integration,[u'Developer Analyst'],"[u'Sql Server 2000/2005/2008', u'Tsql', u'Javascript/Vbscript', u'Vb.Net', u'Asp.Net', u'Qmail Server', u'Classic Asp', u'Sonic Mq Message Broker', u'Vb 6', u'Solaris Os', u'Oracle Db']",1542
1542,[u'Bcom Information Systems'],"[u'ABSA Bank', u'Eskom', u'Foskor', u'Sekhukhune FET', u'Sekhukhune Futher Education & Training College']","[u'Oracle PL/SQL Developer', u'C#', u'System analyst', u'System analyst/IT Manager']","[u'Computer Practice Lecturer', u'Network System Administrator']",System Analyst IM Application,"[u'Systems Developer', u'System Developer']","[u'Sql 2000 Server', u'Ms Visio', u'Oracle Pl/Sql', u'C#', u'Microsoft Office', u'Systems Analysis And Design', u'Visual Basic', u'K2 .Net', u'SPS', u'Delphi', u'Cobol & Hogan', u'Dot Net(Visual Studio)', u'DB2', u'Natural', u'Java', u'Unix']",1543
1543,"[u'B-Tech Computer Systems', u'National Diploma Computer Systems Engineering', u'International Certificate In Computer Studies', u'Matric', u'Matric']","[u'Face Technologies Arivia.Kom', u'Gemalto (Former Axalto)', u'Morpho E-Documents']","[u'Project Manager', u'Business Analyst', u'Account Manager', u'Business Analyst', u'Account Manager']",[],Technical Consultant,"[u'Technical Consultant', u'Junior Developer']","[u'Development Of Smart Card Technology', u'Mobile Telecommunications', u'Knowledge Of Smartcard Operating Systems', u'Project Management', u'Presales', u'Microsoft Word', u'Training', u'Microsoft Powerpoint', u'Microsoft Excel', u'System Analysis', u'Java Programming', u'Oracle Sql Database Programming', u'Cryptography And Security', u'Web Development', u'Microsoft Access', u'Operating Systems Programming With C++']",1544
1544,[u'Hons B.Com (Bank Risk Management)'],[u'Ocsa'],[],[],Application Developer,[],"[u'Microsoft Excel', u'Microsoft Word', u'Microsoft Access']",1545
1545,"[u'Bachelor of engineering', u'Diploma']","[u'Freelancer', u'HPT']",[],[],"embedded developer,Embedded Software Engineer",[u'System Developer'],"[u'C', u'Arduino', u'8051', u'C++', u'Micrcontroller', u'Firmware development', u'embedded c', u'arduino', u'panel design', u'RF', u'GSM', u'touchscreen', u'Zigbee', u'keil', u'team work', u'supervision', u'wiring', u'circuit design', u'soldering', u'system design']",1546
1546,"[u'Bsc Mathematics with Computer Sciences', u'Electrical Engineering']",[u'Standard Bank - Head Office'],"[u'Integration Developer', u'Integration Architects', u'Integration Lead']",[],Integration Developer,[],"[u'IBM Datapower', u'IBM Message Broker', u'Defect resolution', u'Documentation', u'Time management', u'Java development', u'Team work', u'Problem solving', u'Mainframe(Common Component config)']",1547
1547,[u'3ds Max Advanced Modeling & Materials'],"[u'Abode', u'Articad', u'Turner Research & Development']",[u'3D Artist'],[],Graphics Developer,"[u'Software Suppurt', u'Interior Designer']","[u'Articad', u'Photoshop', u'Mental Ray', u'3d Studio Max', u'Mudbox']",1548
1548,"[u'Bachelors in Business Informatics', u'Anglo Gold - In House Training', u'Diploma In IT (Business Applications)', u'Microsoft Certified Certificate', u'Senior Certificate']","[u'Anglo Gold Ashanti Health Services', u'Cura Software', u'Cura Software Solutions', u'Micromine', u'Netconnect', u'Pc4u Computers', u'Tactical Software Systems & Management Services']","[u'Team Leader', u'BA', u'Project Manager', u'Key Accounts Manager', u'IT Manager', u'Solutions Manager', u'Accounts Manager', u'Team Leader', u'Project Manager']","[u'Support Specialist', u'Field Engineer', u'Site Manager', u'IT Technician']",Solutions Manager,"[u'Report Developer', u'Professional Service Consultant']","[u'Technical minded', u'Team Lead', u'time management', u'Risk Solution Management', u'Business Analysis', u'Compliance Solution Management', u'Project Management', u'Solution Management', u'Microsoft Office', u'Windows 98/2000/Me/Xp/Vista/Windows 7', u'Hardware', u'Windows', u'Windows Server', u'Software', u'web-ex', u""Lan'S And Wan'S"", u'Crystal Reports', u'Sales', u'SQL 2012', u'Incident Management', u'Risk management', u'Key Account Managemet', u'Account Management', u'Solution Scoping', u'office', u'SQL 2008R2', u'Jira', u'Business Continuity Management', u'Internal Audit', u'Compliance Management', u'Asp .NET, Html And Javascript Web Design', u'Exchange Server', u'Meditech', u'Sharepoint', u'SSRS', u'SSIS']",1549
1549,[u'Diploma'],[u'Freelance'],"[u'Front End Web Developer', u'Web Developer']",[],Front End Developer,[],"[u'HTML', u'CSS', u'Javascript', u'Jquery', u'Vue.js', u'Adobe Illustrator', u'SQL', u'PHP', u'Python', u'Node.js']",1550
1550,"[u'PMP', u'Diploma Project Management', u'National Diploma Information Technology']","[u'Giesecke & Devrient', u'Supervisory and Control Expertise']","[u'Project Manager', u'Business Analyst']",[],Software & Solutions Team Lead,"[u'Customer Project Manager', u'Systems Developer']","[u'Business Analyst', u'Presentation skills', u'Waterfall Methodologies', u'Requirements gathering', u'SDLC', u'Business Requirements', u'Project Management', u'General Auditing', u'MS Excel', u'MS Powerpoint', u'MS Visio', u'MS Word', u'Training', u'System Analysis and Design', u'Bid Management', u'MS SQL', u'Quality Assurance ISO 9001']",1551
1551,"[u'HTML to HTML5 and CSS', u'Javascript Programming']","[u'Barnstone Corporate Services', u'Caxton Newspapers', u'CJ Marketing and Promotions', u'Intrinsyc Solutions', u'MGM Motors']","[u'Digital Marketing', u'Digital Strategist', u'Web Developer', u'Recruitment Lead']","[u'Media Sales Executive', u'Marketing Assistant']",Recruitment and Resources Division Lead | Digital Strategist | Web Developer | Systems Administrator and Business Development Support,"[u'Recruitment Specialist', u'Marketing Coordinator']","[u'Business Development and Marketing', u'Recruitment/Talent Acquisition', u'Systems Administration', u'Web Development', u'Digital Strategy']",1552
1552,[u'B.Tech'],"[u'HCL Technologies', u'Sankalpa Software Engineer', u'Suryajyothi Infotech']","[u'SQL DBA', u'SQL Developer', u'SQL Production Support', u'.NET Developer', u'Javascript Developer', u'Senior C# ASP.NET Developer']",[],Senior Software Engineer,"[u'Senior Software Developer', u'Software Engineer']","[u'JQUERY', u'ASP.NET', u'VB.NET', u'JAVA SCRIPT', u'Bootstrap', u'SQL DBA', u'C#', u'CSS', u'SQL Developer']",1553
1553,[u'Information Technology'],[u'Metropolitan Life'],[],[],Application Developer,[],"[u'Time Management', u'Interpersonal Skills', u'Team Work, And Paying Attention To Detail']",1554
1554,"[u'National Diploma', u'Certicate', u'Certificate', u'Certificate']","[u'ABSA Bank', u'Barone Budge & Dominick']",[u'Developer'],[],Learner,[u'Learner Software Developer'],"[u'C#', u'Java', u'Visual Basic 6.0']",1555
1555,"[u'Btech: Information System', u'Certified Information Systems Security Professiona', u'Information System (Software Development)']","[u'Ellipsys', u'Telesure Technology Services']","[u'Web Developer', u'Programmer', u'Programmer']",[],Anaylst Developer,[u'Junior Web Developer'],"[u'Vb.Net 2005', u'Window Services', u'MS SQL 2005', u'Asp.Net .Net 2.0', u'Telerik Ajax Controls', u'Crystal Reports', u'Css', u'MS SQL 2008', u'Vb.Net 2008', u'Asp.Net .Net 3.5', u'Microsoft Visio 2007', u'Xml Web Services']",1556
1556,"[u'Java SE & EE', u'Oracle ADF']",[u'Pooya Co'],[],[],Oracle Adf Developer,[],"[u'Java', u'Oracle ADF', u'C#']",1557
1557,"[u'Masters In Information Technology', u'Bsc Mathematics']","[u'Mweb', u'Route Gaming Solutions']","[u'Senior Developer', u'Developer', u'Developer']",[],Developer,[u'Developer'],"[u'On Windows 7/ Vista/ Xp/ 2008/ 2003/ 2000/ Nt/ 98', u'On Windows 7/ Vista/ Xp/ 2008/ 2003/ 2000/ Nt/ 98']",1558
1558,[u'Sun Certified Java Programmer'],[u'Fortis (BNP Paribas)'],[],[],Websphere Portal Lead Developer,[],[u'Java'],1559
1559,"[u'Certification', u'Sap Certification - Hcm', u'Sap Hcm Business  Processes', u'Sap Certification Authorisations', u'Sap Nw Idm', u'Bcomm (Informatics)', u'Stress Provention', u'Team Leading', u'Crystal Report Writer', u'Heat Certification', u'Matric']","[u'Diverseylever', u'Q-Trunk', u'Sabmiller', u'SABMiller', u'South African Breweries']","[u'SAP', u'Service Delivery']","[u'Security Developer', u'SAP HR Business Analyst HR Talent Management', u'Business Analyst SAP Security', u'IT SECURITY TRAINEE / BUSINESS ANALYST', u'General Ledger Manager', u'SAP Security Profile Administrator', u'Accounts Payable Administrator', u'Accounts and Billing Clerk', u'Credit Controller Data Processing Customer Serv.']",Security Access and Control Service Lead – Service Delivery,"[u'Solution Architect: Access Control Lead', u'Development Architect']","[u'Sap (Fi,Mm,Co,Ebp,Hr,Mi,Si,Di,Ci,Apo,Bw,Sem,Pm)', u'Heat Query Logging System', u'Sap Security Authorisations For All Sap Modules', u'Sap Hr Talent Management, Time And Payroll', u'Microsoft Excel Advanced', u'Microsoft Word', u'Finance Upto Balance Sheet', u'Pastel Accounting', u'Accpac Accounting', u'Microsoft Powerpoint', u'Delphi Programming', u'Microsoft Visio', u'Microsoft Access', u'Crystal Report Writer', u'SQL']",1560
1560,"[u'certificate', u'Project Management', u'Certificate in Journalism', u'Certificate PR']","[u'Department of Social Development', u'Itsepiseng Projects and Construction', u'Old Mutual', u'The Training Room Online']","[u'Project Manager', u'Account Manager', u'Client Relationship Manager']","[u'Office Manager', u'Community Developer', u'Client Service Consultant']",Junior Project Manager,"[u'Senior Project Manager', u'Junior Project Manager']","[u'public speaking', u'Microsoft Office', u'Client Service Professional', u'Reporting', u'presentations', u'People skills', u'administrative', u'Project Ms', u'Project Management', u'Office Management', u'Sales']",1561
